Problema	Dimensão	Restrições	Dimensão	Restrições	MAX	MÉDIA	MIN	Desvio Padrão	sizeLine
Cquad1(10)	5	10	5	0	11	6.79	2	1.78	20
Cquad1(20)	10	20	10	0	18	10.78	3	2.77	40
Cquad1(30)	15	30	15	0	24	15.32	4	3.75	60
Cquad2(10)	5	1	5	1	11	6	6	0.01	16
Cquad2(20)	10	1	10	1	11	11	11	0	31
Cquad2(30)	15	1	15	1	16	16	16	0	46
Cquad3(10)	5	5	5	5	11	10	4	0.12	20
Cquad3(20)	10	10	10	10	21	19.99	9	0.21	40
Cquad3(30)	15	15	15	15	31	29.98	9	0.31	60
Cquad4(10)	5	0	5	10	20	13.38	10	3.57	30
Cquad4(20)	10	0	10	20	40	31.43	20	5.39	60
Cquad4(30)	15	0	15	30	60	50.43	30	4.24	90
