Problema	Dimensão	Restrições	Restrições Bound	Dimensão	Restrições	Restrições Bound	MAX	MÉDIA	MIN	Desvio Padrão	sizeLine
Pr1	2	3	3	2	0	4	4	3	1	0.08	6
Pr2	2	0	0	2	3	7	7	4.22	1	0.42	9
Pr3	2	1	1	2	2	10	6	3.05	2	0.48	14
Pr4	1	0	0	1	3	5	3	2.07	1	0.28	6
Pr5	2	1	1	2	2	6	7	3.04	3	0.31	8
Pr6	1	0	0	2	4	7	5	4.07	3	0.28	9
Pr7	1	0	0	1	0	2	1	1	1	0.00	3
Pr8	1	0	0	1	3	6	3	2	1	0.09	7
Pr9	2	0	2	3	3	6	5	4.11	2	0.35	9
Pr10	2	1	3	3	3	6	5	4.19	2	0.41	9
Pr11	4	6	10	2	4	6	7	2.33	1	2.33	8
Pr12	10	2	22	6	7	19	38	19.93	7	2.27	25
Pr13	4	1	9	4	4	12	12	8.69	4	1.10	16
Pr14	2	1	5	2	2	6	8	3.56	2	0.70	10
Pr15	1	0	1	2	4	6	6	4.21	2	0.63	8
Pr16	2	0	0	2	2	4	6	1.29	1	0.48	6
Pr17	1	0	0	2	2	5	4	3.99	1	0.12	7
Pr18	1	0	0	2	2	5	4	3.11	1	0.32	7
