Pr.	Chamadas Falhas (%)	Soluções/OP Pivo	% Acerto (LEMKE)	Avaliações UP (LEMKE)	% Acerto (DE)	Avaliações UP (DE)
Pr1	0.00	33.52	100	164.58	100	160.96
Pr2	5.93	4560.49	100	177.54	100	166.08
Pr3	0.00	232.85	92	551.92	84	1115.02
Pr4	0.02	229.06	88	165.28	92	853.04
Pr5	0.09	180.37	100	51.82	100	51.32
Pr6	0.00	79.54	100	58.08	100	57.12
Pr7	52.54	274430.95	100	89.80	100	77.70
Pr8	0.00	83.80	100	24.26	100	26.38
Pr9	3.66	3453.34	100	198.48	100	199.42
Pr10	93.31	70086.92	12	1978.70	12	5411.02
Pr11	0.00	160.07	100	582.58	100	606.02
Pr12	1.31	299.08	100	987.42	100	1158.06
Pr13	0.61	453.11	100	245.56	100	237.32
Pr14	0.00	263.11	88	612.30	86	941.90
Pr15	0.00	25.07	100	56.86	100	72.70
Pr16	0.00	128.51	76	620.34	78	1420.58
Pr17	2.62	2465.08	100	67.94	100	563.72
Pr18	0.22	309.52	100	87.74	100	99.66
