Problema	Dimensão	Restrições	Dimensão	Restrições	MAX	MÉDIA	MIN	Desvio Padrão	sizeLine
RESTRquad1(5)	5	10	5	0	11	6.79	2	1.78	20
RESTRquad1(10)	10	20	10	0	18	10.78	3	2.77	40
RESTRquad1(15)	15	30	15	0	24	15.32	4	3.75	60
RESTRquad2(5)	5	1	5	1	11	6.00	6	0.01	16
RESTRquad2(10)	10	1	10	1	11	11.00	11	0.00	31
RESTRquad2(15)	15	1	15	1	16	16.00	16	0.00	46
RESTRquad3(5)	5	5	5	5	11	10.00	4	0.12	20
RESTRquad3(10)	10	10	10	10	21	19.99	9	0.21	40
RESTRquad3(15)	15	15	15	15	31	29.98	9	0.31	60
RESTRquad4(5)	5	0	5	10	20	13.38	10	3.57	30
RESTRquad4(10)	10	0	10	20	40	31.43	20	5.39	60
RESTRquad4(15)	15	0	15	30	60	50.43	30	4.24	90
