PR	RPD MIN (DE+LEMKE)	RPD MEDIA  (DE+LEMKE)	RPD MEDIAN  (DE+LEMKE)	RPD MAX  (DE+LEMKE)	RPD MIN  (R-DE+LEMKE)	RPD MEDIA (R-DE+LEMKE)	RPD MEDIAN (R-DE+LEMKE)	RPD MAX (R-DE+LEMKE)	RPD MIN (DE+DE)	RPD MEDIA (DE+DE)	RPD MEDIAN (DE+DE)	RPD MAX (DE+DE)
Cquad1(10)	-0.03	18.8	20	40	-0.006	2.93	0.0487	20	-0.098	17.742319	19.9398	39.9773
Cquad1(20)	15	32.6	35	45	9.98	20.4	20	30	14.94295	30.142464	29.96355	56.94115
Cquad1(30)	30	38	36.7	48	20.6	29.5	30	40	23.2931	38.2486686	37.2938	53.885665
Cquad2(10)	-0.000333	-0.00014	-0.000333	0.00367	-0.000333	0.00016	0	0.00267	0.001	0.00216	0.002	0.0046666667
Cquad2(20)	0.00933	0.0506	0.0323	0.395	0.00933	0.0506	0.0323	0.395	-0.0323333333	0.04478	0.0206666667	0.6886666667
Cquad2(30)	0.0213	0.179	0.107	2.05	0.0213	0.179	0.107	2.05	0.0263333333	0.1254	0.0976666667	0.5483333333
Cquad3(10)	-0.00333	50	50	100	-0.00267	48.1	1.84	100	-1.5533333333	29.0470173333	-1.3023333333	99.9721933333
Cquad3(20)	-0.00333	78	100	100	0.0147	78.1	100	100	-43.7233333333	86.7431972789	99.9760933333	99.98434
Cquad3(30)	-0.00333	92	100	100	0.153	92	100	100	-1.0006666667	92.0867609333	99.98033	99.9921
Cquad4(10)	0	0.5	0	5	0.094	0.605	0.555	5.4	0.0325	0.16854	0.06625	5.068
Cquad4(20)	0	0.5	0	2.5	0.472	1.07	0.693	3.46	0.106	0.51265	0.175	4.85
Cquad4(30)	0.0005	0.568	0.04	5.06	0.471	1.24	0.792	5.97	0.1795	1.08912	0.28975	6.155
