PR	RPD MIN (DE+LEMKE)	RPD MEDIA  (DE+LEMKE)	RPD MEDIAN  (DE+LEMKE)	RPD MAX  (DE+LEMKE)	RPD MIN  (R-DE+LEMKE)	RPD MEDIA (R-DE+LEMKE)	RPD MEDIAN (R-DE+LEMKE)	RPD MAX (R-DE+LEMKE)	RPD MIN (DE+DE)	RPD MEDIA (DE+DE)	RPD MEDIAN (DE+DE)	RPD MAX (DE+DE)
SMDquad1(10)	1.47E-36	3.1E-34	1.21E-34	1.94E-33	0.0000484	0.000164	0.000149	0.000464	0.0001488	0.0003377896	0.0003166455	0.000608964
SMDquad1(20)	1.84E-20	3.08E-18	1.23E-18	3.26E-17	0.000205	0.000606	0.000595	0.00109	0.00144702	0.0023604232	0.002246005	0.00361329
SMDquad1(30)	9.27E-14	0.000000015	1.96E-12	0.00000025	0.000332	0.00097	0.000946	0.0017	0.00364439	0.0050162834	0.004953265	0.007512
SMDquad2(10)	-2.5E-11	-2.5E-11	-2.5E-11	-2.5E-11	0.0000158	0.000101	0.0000891	0.000249	-106.627	-6.1416078476	-0.003891465	-0.00314291
SMDquad2(20)	-5E-11	-4.77E-11	-5E-11	-3.72E-11	0.0000779	0.00032	0.000338	0.000585	-101.188	-35.7773396648	-0.00623107	-0.00503119
SMDquad2(30)	-5.87E-11	-4.35E-11	-4.63E-11	-3.97E-12	0.000249	0.000589	0.000582	0.00108	-127.944	-34.6590282324	-0.0113794	-0.00627499
SMDquad3(10)	1.2E-15	2.65E-11	8.48E-13	4.28E-10	0.0000141	0.000125	0.000116	0.000316	0.000124769	0.0003390413	0.000340392	0.000689357
SMDquad3(20)	2.56E-09	0.000000121	4.72E-08	0.000000914	0.000239	0.000561	0.000527	0.000959	0.00125239	0.0025756288	0.00253719	0.00414322
SMDquad3(30)	0.000000518	0.00000247	0.00000167	0.000011	0.000457	0.00103	0.000986	0.00168	0.0037086	0.0058564008	0.005678805	0.00908282
SMDquad4(10)	-2.5E-11	-2.5E-11	-2.5E-11	-2.5E-11	0.0000522	0.000317	0.000277	0.000735	-0.00095352	-0.0006126706	-0.0006118055	-0.000399949
SMDquad4(20)	-5E-11	-4.67E-11	-5E-11	-3.66E-11	0.000555	0.00138	0.00134	0.00256	-100.262	-6.0080393853	-0.0008410275	-0.000635984
SMDquad4(30)	-6.46E-11	-4.25E-11	-4.47E-11	-1.45E-11	0.00127	0.00227	0.00213	0.00408	-100.078	-7.9956720922	-0.00121024	-0.000319589
SMDquad5(10)	-9.69E-09	-1.13E-09	7.22E-13	6.59E-10	0.000331	0.00168	0.00171	0.00348	-0.015825	-0.0117013782	-0.01165585	-0.00978741
SMDquad5(20)	1.72E-09	0.000000102	0.00000005	0.000000816	0.00204	0.00608	0.00615	0.0102	-0.0311017	-0.022849778	-0.0218127	-0.0165202
SMDquad5(30)	0.000000285	0.00000307	0.00000183	0.0000167	0.00439	0.0106	0.0107	0.0156	-0.0815107	-0.045026606	-0.0443478	-0.0197404
SMD6(10)	3.15E-47	2.19E-43	8.09E-45	4.23E-42	0.000314	0.00154	0.00142	0.00356	3.76482	23.9426116	21.29715	51.5648
SMD6(20)	7.05E-25	1.68E-21	1.15E-22	2.27E-20	0.00221	0.00526	0.00512	0.00887	206.439	1099.7861	1073.04	2439.21
SMD6(30)	7.47E-16	5.82E-14	1.97E-14	7.81E-13	0.00428	0.00818	0.00837	0.0118	250.886	1154.9541	1076.335	2414.06
